question_id	source_name	source_type	evidence_signal	supports	limits	confidence	url
MHQ001	Nexteer MotionIQ/Health release	Supplier official release	MotionIQ/Health monitors steering, chassis components, and tires, and ties this to fleet downtime reduction, maintenance scheduling, and diagnostic time reduction.	操舵系を含むchassis healthがfleet downtime / maintenance schedulingの文脈で売られている。	製品発表であり、実顧客導入・支払額・対象車種は見えない。	High for market signal / Medium for paid demand	https://www.nexteer.com/release/nexteer-unveils-its-motioniq-software-suite-for-intelligent-motion-control/
MHQ001	Nexteer Prognostics	Supplier product page	Nexteer says connected vehicle technology and longer ownership cycles create demand for prognostics; fleet uptime and longevity are highlighted.	商用fleetではuptimeと長期稼働がhealth monitoring需要の芯になる。	steering-specific failure frequencyや実運用停止事例は示されていない。	Medium	https://www.nexteer.com/software/prognostics/
MHQ001	Bosch Cloud and Predictive Diagnostics	Supplier product page	Bosch positions cloud/predictive diagnostics for logistics companies and mobility service providers to identify vehicle issues before they impact operations.	fleetのreliability / efficiency / operational impactが需要として明示される。	steering単体ではなくvehicle fleet全体の診断。	High for fleet demand / Low for EPS-specific demand	https://www.bosch-mobility.com/en/solutions/software-and-services/cloud-and-predictive-diagnostics/
MHQ001	Waymo Via and Ryder	AV operator official blog	Waymo says Ryder partnership is for autonomous truck maintenance best practices to maximize uptime and reliability.	自動運転truckではmaintenance practiceとuptimeが運行価値に直結する。	操舵系の痛みではなく、maintenance全体の話。	High for AV maintenance demand / Low for steering specificity	https://waymo.com/blog/2021/08/expanding-our-waymo-via-operations/
MHQ001	Ryder and Aurora	Ryder official newsroom	Ryder technicians embedded in Aurora terminal to maximize utilization of autonomous trucks.	AV truckの運行ではon-site maintenanceとutilizationが重要。	操舵系ではなくtruck全体。	Medium	https://newsroom.ryder.com/news/news-details/2022/Aurora-and-Ryder-to-Pilot-On-Site-Fleet-Maintenance-for-Autonomous-Trucking/default.aspx
MHQ002	Bosch FleetME press release	Supplier official press release	FleetME connects vehicle data, diagnostics, OEM maintenance schedules, repair guidance, and parts in a unified platform for fleet maintenance.	買い手候補はfleet maintenance owner、OEM service、platform ownerで、出力はmaintenance scheduling / repair guidance。	EPS/SbWサプライヤが直接買い手になるとは言えない。	High for buyer workflow / Medium for supplier role	https://us.bosch-press.com/pressportal/us/en/press-release-27904.html
MHQ002	Geotab fleet maintenance	Commercial fleet platform page	Geotab describes fleet managers using active diagnostic faults and critical engine data to identify issues and prioritize repairs.	利用者はfleet manager / maintenance plannerで、repair priorityが業務出力になる。	engine data中心で、steering/chassisの優先度は弱い。	High for workflow / Low for EPS specificity	https://www.geotab.com/fleet-management-solutions/fleet-maintenance/
MHQ002	International Advanced Remote Diagnostics	OEM service page	International reports active fault codes and performance data via portal, mobile app, reports, and API connections into fleet platforms.	OEM/fleet service部門がconnected diagnosticsの買い手・運用主体になりうる。	対象はInternational truck ecosystemで、EPS supplier boundaryは不明。	Medium	https://www.international.com/services/my-international/advanced-remote-diagnostics
MHQ003	Nexteer MotionIQ/Health release	Supplier official release	Nexteer says MotionIQ/Health can use anonymized data from actual lifecycle conditions for OEM and supplier product quality/development insights.	サプライヤが実使用データloopに入る公開例として強い。	匿名化・契約・データ項目・service history/交換結果へのアクセスは不明。	Medium	https://www.nexteer.com/release/nexteer-unveils-its-motioniq-software-suite-for-intelligent-motion-control/
MHQ003	High Mobility connected car API	Connected vehicle data platform page	High Mobility provides fleet APIs and notes brand partnerships enabling access to connected vehicle data such as journey history and tyre pressures.	OEM/fleet data accessの市場インフラは存在する。	EPS DTC/DID、整備履歴、交換結果へのアクセスは示さない。	Low to Medium	https://www.high-mobility.com/
